Period,Age Group,Category 0,Category 1
24,60-80,95,69
24,80-inf,80,93
25,0-20,168,175
25,20-40,81,96
25,40-60,97,79
25,60-80,95,68
25,80-inf,80,91
26,0-20,173,177
26,20-40,80,96
26,40-60,97,79
26,60-80,95,68
26,80-inf,78,91
27,0-20,176,181
27,20-40,79,96
27,40-60,97,79
27,60-80,95,67
27,80-inf,78,89
28,0-20,179,184
28,20-40,79,95
28,40-60,97,79
28,60-80,95,67
28,80-inf,78,89
29,0-20,180,185
29,20-40,79,95
29,40-60,97,79
29,60-80,95,67
29,80-inf,78,88
30,0-20,184,187
30,20-40,78,95
30,40-60,96,79
30,60-80,95,67
30,80-inf,78,88
31,0-20,183,186
31,20-40,77,94
31,40-60,95,78
31,60-80,95,67
31,80-inf,78,88
32,0-20,182,190
32,20-40,77,94
32,40-60,95,78
32,60-80,95,66
32,80-inf,77,88
33,0-20,187,191
33,20-40,77,94
33,40-60,94,78
33,60-80,95,65
33,80-inf,76,88
34,0-20,189,196
34,20-40,77,94
34,40-60,94,78
34,60-80,95,65
34,80-inf,76,88
35,0-20,192,198
35,20-40,77,93
35,40-60,92,78
35,60-80,95,64
35,80-inf,76,88
36,0-20,195,203
36,20-40,77,93
36,40-60,92,77
36,60-80,95,64
36,80-inf,76,86
37,0-20,197,202
37,20-40,76,93
37,40-60,91,77
37,60-80,93,63
37,80-inf,75,86
38,0-20,199,205
38,20-40,76,92
38,40-60,90,77
38,60-80,92,63
38,80-inf,75,85
39,0-20,202,207
39,20-40,76,92
39,40-60,89,77
39,60-80,92,63
39,80-inf,75,85
40,0-20,205,208
40,20-40,75,92
40,40-60,87,76
40,60-80,91,63
40,80-inf,74,84
41,0-20,208,212
41,20-40,75,91
41,40-60,84,76
41,60-80,91,63
41,80-inf,74,84
42,0-20,211,214
42,20-40,75,90
42,40-60,83,76
42,60-80,91,63
42,80-inf,73,83
43,0-20,215,221
43,20-40,74,88
43,40-60,83,75
43,60-80,91,63
43,80-inf,73,83
44,0-20,219,226
44,20-40,74,88
44,40-60,83,75
44,60-80,91,62
44,80-inf,73,83
45,0-20,225,231
45,20-40,74,87
45,40-60,81,75
45,60-80,91,62
45,80-inf,73,83
46,0-20,225,233
46,20-40,74,86
46,40-60,81,74
46,60-80,91,62
46,80-inf,73,82
47,0-20,225,235
47,20-40,74,86
47,40-60,81,72
47,60-80,89,61
47,80-inf,73,82
48,0-20,229,240
48,20-40,74,86
48,40-60,81,72
48,60-80,88,61
48,80-inf,72,80
49,0-20,233,242
49,20-40,74,86
49,40-60,81,72
49,60-80,88,60
49,80-inf,72,80
50,0-20,236,244
50,20-40,73,86
50,40-60,80,72
50,60-80,88,59
50,80-inf,71,80
51,0-20,237,245
51,20-40,72,85
51,40-60,80,72
51,60-80,88,57
51,80-inf,71,80
